code,condition
0,Clear sky
1,Mainly clear
2,Partly cloudy
3,Overcast
45,Fog
48,Depositing rime fog
51,Drizzle: Light
53,Drizzle: Moderate
55,Drizzle: Dense
56,Freezing Drizzle: Light
57,Freezing Drizzle: Dense
61,Rain: Slight
63,Rain: Moderate
65,Rain: Heavy
66,Freezing rain: Light
67,Freezing rain: Heavy
71,Snow Fall: Slight
73,Snow Fall: Moderate
75,Snow Fall: Heavy
77,Snow Grains
80,Rain Showers: Slight
81,Rain Showers: Moderate
82,Rain Showers: Violent
85,Snow Showers: Slight
86,Snow Showers: Heavy
95,Thunderstorm: Slight or Moderate
96,Thunderstorm: Slight Hail
99,Thunderstorm: Heavy Hail
